symbol,n,value
B3,119,0.8045107551909623
B3,120,0.8053355860023249
B3,121,0.8061500636667572
B3,122,0.8069544029691139
B3,123,0.8077488125071615
B3,124,0.8085334949193769
B3,125,0.8093086471016471
B3,126,0.8100744604151293
B3,127,0.8108311208842709
B3,128,0.8115788093871633
B3,129,0.8123177018367141
B3,130,0.8130479693549271
B3,131,0.8137697784388119
B3,132,0.814483291120568
B3,133,0.8151886651196423
B3,134,0.8158860539897996
B3,135,0.816575607259076
B3,136,0.8172574705648252
B3,137,0.8179317857825157
B3,138,0.8185986911501614
B3,139,0.8192583213870889
B3,140,0.8199108078083599
B3,141,0.8205562784344862
B3,142,0.8211948580971197
B3,143,0.8218266685402316
B3,144,0.82245182851775
B3,145,0.8230704538873957
B3,146,0.8236826577007887
B3,147,0.824288550289926
B3,148,0.8248882393513779
B3,149,0.8254818300261135
B3,150,0.8260694249770499
B3,151,0.8266511244640369
B3,152,0.8272270264151487
B3,153,0.8277972264961386
B3,154,0.8283618181774935
B3,155,0.8289208927982674
B3,156,0.8294745396286676
B3,157,0.8300228459294974
B3,158,0.8305658970101433
B3,159,0.8311037762844479
B3,160,0.8316365653242404
B3,161,0.8321643439113635
B3,162,0.8326871900882042
B3,163,0.8332051802055402
B3,164,0.8337183889701281
B3,165,0.8342268894890847
B3,166,0.8347307533146301
B3,167,0.8352300504853698
B3,168,0.8357248495679
B3,169,0.8362152176962567
B3,170,0.8367012206098354
B3,171,0.8371829226906222
B3,172,0.8376603869992651
B3,173,0.8381336753091292
B3,174,0.838602848140638
B3,175,0.8390679647930709
B3,176,0.8395290833764425
B3,177,0.8399862608421599
B3,178,0.8404395530118335
B3,179,0.8408890146068921
B3,180,0.8413346992756039
B3,181,0.8417766596200184
B3,182,0.842214947222586
B3,183,0.8426496126708286
B3,184,0.8430807055822855
B3,185,0.8435082746280171
B3,186,0.8439323675558323
B3,187,0.844353031212727
B3,188,0.8447703115665226
B3,189,0.8451842537269544
B3,190,0.8455949019662579
B3,191,0.8460022997389537
B3,192,0.8464064897012592
B3,193,0.8468075137297376
B3,194,0.8472054129395292
B3,195,0.847600227702321
B3,196,0.8479919976631349
B3,197,0.8483807617572211
B3,198,0.8487665582266658
B3,199,0.8491494246353382
B3,200,0.8495293978853251
B4,2,3.2665319192886
B4,3,2.5681696026311904
B4,4,2.266047078850368
B4,5,2.0889978686302837
B4,6,1.9696367905040293
B4,7,1.8823149684585736
B4,8,1.814910402240355
B4,9,1.7608671981950548
B4,10,1.7162944435579872
B4,11,1.6787198504149938
B4,12,1.6464881689353066
B4,13,1.6184443041772434
B4,14,1.5937546152919162
B4,15,1.5718004577985996
B4,16,1.5521118357585144
B4,17,1.534324458369488
B4,18,1.5181510367104059
B4,19,1.5033615598524266
B4,20,1.489769410598002
B4,21,1.4772213827320484
B4,22,1.4655903675642583
B4,23,1.4547699056392736
B4,24,1.4446700665375056
B4,25,1.4352142905151226
B4,26,1.4263369374986579
B4,27,1.4179813635830076
B4,28,1.4100983959468296
B4,29,1.4026451122177352
B4,30,1.3955838549911337
B4,31,1.3888814297865013
B4,32,1.3825084474163072
B4,33,1.3764387810172807
B4,34,1.3706491148467652
B4,35,1.3651185670649046
B4,36,1.3598283725823852
B4,37,1.3547616149898607
B4,38,1.3499029988392144
B4,39,1.345238655290554
B4,40,1.3407559754975127
B4,41,1.3364434671716654
B4,42,1.3322906306089375
B4,43,1.328287851133368
